Id,Name,Latitude,Longitude,Country,CountryCode,Status,ReactorType,ReactorModel,ConstructionStartAt,OperationalFrom,OperationalTo,Capacity,LastUpdatedAt,Source,IAEAId
184,Donald Cook-1,41.975000,-86.564000,United States,US,Operational,PWR,WH 4LP (ICECDN),03-25-69,08-28-75,,1030,2/11/17 1:58,WNA/IAEA,653
185,Donald Cook-2,41.975000,-86.564000,United States,US,Operational,PWR,WH 4LP (ICECDN),03-25-69,07-01-78,,1100,2/11/17 1:58,WNA/IAEA,654
186,Douglas Point,44.326000,-81.601000,Canada,CA,Shutdown,PHWR,CANDU 200,02-01-60,09-26-68,05-04-84,203,5/24/15 7:50,WNA/IAEA,40
187,Dounreay DFR,58.577000,-3.745000,United Kingdom,GB,Shutdown,FBR,,03-01-55,10-01-62,03-01-77,14,5/24/15 7:51,WNA/IAEA,242
188,Dounreay PFR,58.577000,-3.745000,United Kingdom,GB,Shutdown,FBR,,01-01-66,07-01-76,03-31-94,234,5/24/15 7:51,WNA/IAEA,243
189,Dresden-1,41.353000,-88.349000,United States,US,Shutdown,BWR,,05-01-56,07-04-60,10-31-78,192,5/24/15 7:51,WNA/IAEA,597
190,Dresden-2,41.353000,-88.349000,United States,US,Operational,BWR,BWR-3 (Mark 1),01-10-66,06-09-70,,794,5/24/15 7:51,WNA/IAEA,608
191,Dresden-3,41.353000,-88.349000,United States,US,Operational,BWR,BWR-3 (Mark 1),10-14-66,11-16-71,,794,5/24/15 7:51,WNA/IAEA,612
192,Duane Arnold-1,42.101000,-91.776000,United States,US,Shutdown,BWR,BWR-4 (Mark 1),06-22-70,02-01-75,10-12-20,601,1/6/21 3:19,WNA/IAEA,667
193,Dukovany-1,49.089000,16.149000,Czechia,CZ,Operational,PWR,VVER V-213,01-01-79,05-03-85,,420,8/28/23 11:01,WNA/IAEA,78
194,Dukovany-2,49.089000,16.149000,Czechia,CZ,Operational,PWR,VVER V-213,01-01-79,03-21-86,,420,5/24/15 7:50,WNA/IAEA,79
195,Dukovany-3,49.089000,16.149000,Czechia,CZ,Operational,PWR,VVER V-213,03-01-79,12-20-86,,420,5/24/15 7:50,WNA/IAEA,80
196,Dukovany-4,49.089000,16.149000,Czechia,CZ,Operational,PWR,VVER V-213,03-01-79,07-19-87,,420,5/24/15 7:50,WNA/IAEA,81
197,Dungeness-A1,50.914000,0.962000,United Kingdom,GB,Shutdown,GCR,MAGNOX,07-01-60,10-28-65,12-31-06,275,5/24/15 7:51,WNA/IAEA,275
198,Dungeness-A2,50.914000,0.962000,United Kingdom,GB,Shutdown,GCR,MAGNOX,07-01-60,12-30-65,12-31-06,275,5/24/15 7:51,WNA/IAEA,276
199,Dungeness-B1,50.914000,0.962000,United Kingdom,GB,Shutdown,GCR,AGR,10-01-65,04-01-85,06-07-21,607,1/5/22 2:04,WNA/IAEA,248
200,Dungeness-B2,50.914000,0.962000,United Kingdom,GB,Shutdown,GCR,AGR,10-01-65,04-01-89,06-07-21,607,1/5/22 2:04,WNA/IAEA,249
201,El Dabaa-1,31.044167,28.497778,Egypt,EG,Under Construction,PWR,VVER-1200,07-20-22,,,1100,8/28/23 11:01,WNA/IAEA/Wikipedia,137
202,EL-4 (Monts D'Arree),48.350000,-3.866667,France,FR,Shutdown,HWGCR,Monts-D'Arree,07-01-62,06-01-68,07-31-85,70,5/24/15 8:20,IAEA,217
203,Elk River,45.297000,-93.557000,United States,US,Shutdown,BWR,,01-01-59,07-01-64,02-01-68,22,5/24/15 7:51,WNA/IAEA,596
204,Embalse,-32.232000,-64.442000,Argentina,AR,Operational,PHWR,CANDU 6,04-01-74,01-20-84,,608,4/18/20 7:46,WNA/IAEA,4
205,Emsland,52.471000,7.322000,Germany,DE,Shutdown,PWR,Konvoi,08-10-82,06-20-88,04-15-23,1242,8/28/23 11:01,WNA/IAEA,108
206,Enrico Fermi,45.183333,8.283333,Italy,IT,Shutdown,PWR,WH 4LP,07-01-61,01-01-65,07-01-90,247,2/11/17 1:56,IAEA,326
207,Enrico Fermi-1,41.960000,-83.257000,United States,US,Shutdown,FBR,Liquid Metal FBR,08-08-56,08-07-66,11-29-72,60,2/11/17 1:57,WNA/IAEA,602
208,Enrico Fermi-2,41.960000,-83.257000,United States,US,Operational,BWR,BWR-4 (Mark 1),09-26-72,01-23-88,,1093,5/24/15 7:51,WNA/IAEA,674
209,Fangchenggang-1,21.600000,108.300000,China,CN,Operational,PWR,CPR-1000,07-30-10,01-01-16,,1000,6/30/19 1:55,WNA/IAEA,943
210,Fangchenggang-2,21.600000,108.300000,China,CN,Operational,PWR,CPR-1000,12-23-10,10-01-16,,1000,2/11/17 1:59,WNA/IAEA,944
211,Fangjiashan-1,30.416000,120.951000,China,CN,Operational,PWR,CPR-1000,12-26-08,12-15-14,,1000,5/24/15 7:51,WNA/IAEA,912
212,Fangjiashan-2,30.416000,120.951000,China,CN,Operational,PWR,CPR-1000,07-17-09,02-12-15,,1000,5/24/15 7:51,WNA/IAEA,913
213,Farley-1,31.223000,-85.115000,United States,US,Operational,PWR,WH 3LP (DRYAMB),10-01-70,12-01-77,,829,2/11/17 1:58,WNA/IAEA,677
214,Farley-2,31.223000,-85.115000,United States,US,Operational,PWR,WH 3LP (DRYAMB),10-01-70,07-30-81,,829,2/11/17 1:58,WNA/IAEA,686
215,Fessenheim-1,47.903000,7.564000,France,FR,Shutdown,PWR,CP0,09-01-71,01-01-78,02-22-20,880,4/18/20 7:46,WNA/IAEA,163
216,Fessenheim-2,47.903000,7.564000,France,FR,Shutdown,PWR,CP0,02-01-72,04-01-78,06-30-20,880,8/31/20 4:39,WNA/IAEA,164
217,FitzPatrick,43.521000,-76.403000,United States,US,Operational,BWR,BWR-4 (Mark 1),09-01-68,07-28-75,,821,5/24/15 7:51,WNA/IAEA,668
218,Flamanville-1,49.537000,-1.881000,France,FR,Operational,PWR,P4 REP 1300,12-01-79,12-01-86,,1330,5/24/15 7:50,WNA/IAEA,202
219,Flamanville-2,49.537000,-1.881000,France,FR,Operational,PWR,P4 REP 1300,05-01-80,03-09-87,,1330,5/24/15 7:50,WNA/IAEA,203
220,Flamanville-3,49.537000,-1.881000,France,FR,Under Construction,PWR,EPR,12-03-07,,,1630,5/24/15 7:51,WNA/IAEA,873
221,Forsmark-1,60.405000,18.168000,Sweden,SE,Operational,BWR,"AA-III, BWR-2500",06-01-73,12-10-80,,900,3/10/18 16:52,WNA/IAEA,541
222,Forsmark-2,60.405000,18.168000,Sweden,SE,Operational,BWR,"AA-III, BWR-2500",01-01-75,07-07-81,,900,3/10/18 16:51,WNA/IAEA,530
223,Forsmark-3,60.405000,18.168000,Sweden,SE,Operational,BWR,"AA-IV, BWR-3000",01-01-79,08-18-85,,1050,3/10/18 16:51,WNA/IAEA,532
224,Fort Calhoun-1,41.520000,-96.076000,United States,US,Shutdown,PWR,CE 2LP,06-07-68,09-26-73,10-24-16,478,2/11/17 1:58,WNA/IAEA,634
225,Fort St. Vrain,40.244000,-104.874000,United States,US,Shutdown,HTGR,,09-01-68,07-01-79,08-29-89,330,5/24/15 7:51,WNA/IAEA,623
226,Fugen ATR,35.751000,136.020000,Japan,JP,Shutdown,HWLWR,ATR,05-10-72,03-20-79,03-29-03,148,5/24/15 7:51,WNA/IAEA,345
227,Fukushima Daiichi-1,37.423000,141.032000,Japan,JP,Shutdown,BWR,BWR-3,07-25-67,03-26-71,05-19-11,439,6/30/19 15:49,WNA/IAEA,377
228,Fukushima Daiichi-2,37.423000,141.032000,Japan,JP,Shutdown,BWR,BWR-4,06-09-69,07-18-74,05-19-11,760,6/30/19 15:49,WNA/IAEA,389
229,Fukushima Daiichi-3,37.423000,141.032000,Japan,JP,Shutdown,BWR,BWR-4,12-28-70,03-27-76,05-19-11,760,6/30/19 15:49,WNA/IAEA,334
230,Fukushima Daiichi-4,37.423000,141.032000,Japan,JP,Shutdown,BWR,BWR-4,02-12-73,10-12-78,05-19-11,760,6/30/19 15:49,WNA/IAEA,340
231,Fukushima Daiichi-5,37.423000,141.032000,Japan,JP,Shutdown,BWR,BWR-4,05-22-72,04-18-78,12-17-13,760,6/30/19 15:49,WNA/IAEA,341
232,Fukushima Daiichi-6,37.423000,141.032000,Japan,JP,Shutdown,BWR,BWR-5,10-26-73,10-24-79,12-17-13,1067,6/30/19 15:52,WNA/IAEA,342
233,Fukushima Daini-1,37.315000,141.024000,Japan,JP,Shutdown,BWR,BWR-5,03-16-76,04-20-82,09-30-19,1067,4/18/20 7:46,WNA/IAEA,350
234,Fukushima Daini-2,37.315000,141.024000,Japan,JP,Shutdown,BWR,BWR-5,05-25-79,02-03-84,09-30-19,1067,4/18/20 7:46,WNA/IAEA,351
235,Fukushima Daini-3,37.315000,141.024000,Japan,JP,Shutdown,BWR,BWR-5,03-23-81,06-21-85,09-30-19,1067,4/18/20 7:46,WNA/IAEA,361
236,Fukushima Daini-4,37.315000,141.024000,Japan,JP,Shutdown,BWR,BWR-5,05-28-81,08-25-87,09-30-19,1067,4/18/20 7:46,WNA/IAEA,364
237,Fuqing-1,25.443000,119.453000,China,CN,Operational,PWR,CNP-1000,11-21-08,11-22-14,,1000,3/9/16 20:43,WNA/IAEA,914
238,Fuqing-2,25.443000,119.453000,China,CN,Operational,PWR,CNP-1000,06-17-09,10-16-15,,1000,3/9/16 20:43,WNA/IAEA,915
239,Fuqing-3,25.720278,119.383889,China,CN,Operational,PWR,CNP-1000,12-31-10,10-24-16,,1000,2/11/17 1:59,WNA/IAEA,935
240,Fuqing-4,25.720278,119.383889,China,CN,Operational,PWR,CNP-1000,11-17-12,09-17-17,,1000,3/10/18 16:52,WNA/IAEA,936
241,Fuqing-5,25.720278,119.383889,China,CN,Operational,PWR,HPR1000,05-07-15,01-30-21,,1075,12/30/22 2:57,WNA/IAEA,937
242,Fuqing-6,25.720278,119.383889,China,CN,Operational,PWR,HPR1000,12-22-15,03-25-22,,1075,9/25/22 1:33,WNA/Wikipedia/IAEA,938
243,G-2 (Marcoule),44.142000,4.713000,France,FR,Shutdown,GCR,,03-01-55,04-22-59,02-02-80,36,5/24/15 7:50,WNA/IAEA,172
244,G-3 (Marcoule),44.142000,4.713000,France,FR,Shutdown,GCR,,03-01-56,04-04-60,06-20-84,36,5/24/15 7:50,WNA/IAEA,161
245,Garigliano,41.258000,13.835000,Italy,IT,Shutdown,BWR,BWR-1,11-01-59,06-01-64,03-01-82,150,5/24/15 7:51,WNA/IAEA,325
246,GE Vallecitos,37.613056,-121.840000,United States,US,Shutdown,BWR,25,01-01-56,10-19-57,12-09-63,24,06-06-21,IAEA,893
247,Genkai-1,33.518000,129.837000,Japan,JP,Shutdown,PWR,M (2-loop),09-15-71,10-15-75,04-27-15,529,5/24/15 7:51,WNA/IAEA,336
248,Genkai-2,33.518000,129.837000,Japan,JP,Shutdown,PWR,M (2-loop),02-01-77,03-30-81,04-09-19,529,11-22-19,WNA/IAEA,352
249,Genkai-3,33.518000,129.837000,Japan,JP,Operational,PWR,M (4-loop),06-01-88,03-18-94,,1127,5/24/15 7:51,WNA/IAEA,372
250,Genkai-4,33.518000,129.837000,Japan,JP,Operational,PWR,M (4-loop),07-15-92,07-25-97,,1127,5/24/15 7:51,WNA/IAEA,373
251,Gentilly-1 (Demo),46.395000,-72.357000,Canada,CA,Shutdown,HWLWR,HW BLWR 250,09-01-66,05-01-72,06-01-77,250,5/24/15 7:50,WNA/IAEA,47
252,Gentilly-2,46.395000,-72.357000,Canada,CA,Shutdown,PHWR,CANDU 6,04-01-74,10-01-83,12-28-12,645,5/24/15 7:50,WNA/IAEA,32
253,Dodewaard,51.899000,5.687000,Netherlands,NL,Shutdown,BWR,GE design,05-01-65,03-26-69,03-26-97,54,06-07-21,WNA/IAEA,422
254,Goesgen,47.366000,7.969000,Switzerland,CH,Operational,PWR,PWR 3 Loop,12-01-73,11-01-79,,920,4/21/22 23:26,WNA/IAEA,58
255,Golfech-1,44.105000,0.845000,France,FR,Operational,PWR,P4 REP 1300,11-17-82,02-01-91,,1310,5/24/15 7:51,WNA/IAEA,219
256,Golfech-2,44.105000,0.845000,France,FR,Operational,PWR,P4 REP 1300,10-01-84,03-04-94,,1310,5/24/15 7:51,WNA/IAEA,224
257,Grafenrheinfeld,49.984000,10.186000,Germany,DE,Shutdown,PWR,PWR,01-01-75,06-17-82,06-27-15,1225,8/23/15 6:28,WNA/IAEA,97
258,Grand Gulf-1,32.007000,-91.045000,United States,US,Operational,BWR,BWR-6 (Mark 3),05-04-74,07-01-85,,1250,5/24/15 7:51,WNA/IAEA,715
259,Gravelines-1,51.014000,2.138000,France,FR,Operational,PWR,CP1,02-01-75,11-25-80,,910,5/24/15 7:50,WNA/IAEA,174
260,Gravelines-2,51.014000,2.138000,France,FR,Operational,PWR,CP1,03-01-75,12-01-80,,910,5/24/15 7:50,WNA/IAEA,175
261,Gravelines-3,51.014000,2.138000,France,FR,Operational,PWR,CP1,12-01-75,06-01-81,,910,5/24/15 7:50,WNA/IAEA,181
262,Gravelines-4,51.014000,2.138000,France,FR,Operational,PWR,CP1,04-01-76,10-01-81,,910,5/24/15 7:50,WNA/IAEA,182
263,Gravelines-5,51.014000,2.138000,France,FR,Operational,PWR,CP1,10-01-79,01-15-85,,910,5/24/15 7:51,WNA/IAEA,208
264,Gravelines-6,51.014000,2.138000,France,FR,Operational,PWR,CP1,10-01-79,10-25-85,,910,5/24/15 7:51,WNA/IAEA,209
265,Greifswald-1,54.143000,13.668000,Germany,DE,Shutdown,PWR,VVER V-230,03-01-70,07-12-74,12-18-90,440,9/25/22 1:33,WNA/IAEA,123
266,Greifswald-2,54.143000,13.668000,Germany,DE,Shutdown,PWR,VVER V-230,03-01-70,04-16-75,02-14-90,408,5/24/15 7:50,WNA/IAEA,124
267,Greifswald-3,54.143000,13.668000,Germany,DE,Shutdown,PWR,VVER V-230,04-01-72,05-01-78,02-28-90,408,5/24/15 7:50,WNA/IAEA,125
268,Greifswald-4,54.143000,13.668000,Germany,DE,Shutdown,PWR,VVER V-230,04-01-72,11-01-79,06-02-90,408,9/25/22 1:33,WNA/IAEA,126
269,Greifswald-5,54.143000,13.668000,Germany,DE,Shutdown,PWR,VVER V-213,12-01-76,11-01-89,11-24-89,408,5/24/15 7:50,WNA/IAEA,127
270,Grohnde,52.033000,9.412000,Germany,DE,Shutdown,PWR,PWR,06-01-76,02-01-85,12-31-21,1289,4/21/22 23:26,WNA/IAEA,101
271,Grosswelzheim,50.055000,8.985000,Germany,DE,Decommissioning Completed,BWR,Superheated steam reactor,01-01-65,,07-20-71,23,12/30/22 4:21,WNA/IAEA,134
272,Gundremmingen-A,48.513000,10.401000,Germany,DE,Shutdown,BWR,,12-12-62,04-12-67,01-13-77,237,5/24/15 7:50,WNA/IAEA,104
273,Gundremmingen-B,48.513000,10.401000,Germany,DE,Shutdown,BWR,BWR-72,07-20-76,07-19-84,12-31-17,1244,3/10/18 16:51,WNA/IAEA,100
274,Gundremmingen-C,48.513000,10.401000,Germany,DE,Shutdown,BWR,BWR-72,07-20-76,01-18-85,12-31-21,1249,4/21/22 23:26,WNA/IAEA,102
275,H. B. Robinson-2,34.402000,-80.158000,United States,US,Operational,PWR,WH 3LP (DRYAMB),04-13-67,03-07-71,,700,2/11/17 1:58,WNA/IAEA,619
276,Haddam Neck,41.483000,-72.500000,United States,US,Shutdown,PWR,,05-01-64,01-01-68,12-05-96,582,5/24/15 7:51,WNA/IAEA,605
277,Haiyang-1,36.704000,121.382000,China,CN,Operational,PWR,AP-1000,09-24-09,10-22-18,,1126,6/2/19 23:18,WNA/IAEA,908
278,Haiyang-2,36.704000,121.382000,China,CN,Operational,PWR,AP-1000,06-20-10,01-09-19,,1126,6/2/19 23:18,WNA/IAEA,909
279,Haiyang-3,36.704000,121.382000,China,CN,Under Construction,PWR,CAP1000,07-07-22,,,1161,9/25/22 1:33,WNA/IAEA,993
280,Haiyang-4,36.704000,121.382000,China,CN,Under Construction,PWR,CAP1000,04-22-23,,,1161,8/28/23 11:01,WNA/IAEA,994
281,Hallam,40.559000,-96.785000,United States,US,Shutdown,OCR,LMGMR (SGR-Sodium cooled graphite moderated reactor),01-01-59,11-01-63,09-01-64,75,8/23/15 6:28,WNA/IAEA,891
282,Hamaoka-1,34.621000,138.141000,Japan,JP,Shutdown,BWR,BWR-4,06-10-71,03-17-76,01-30-09,516,5/24/15 7:51,WNA/IAEA,335
283,Hamaoka-2,34.621000,138.141000,Japan,JP,Shutdown,BWR,BWR-4,06-14-74,11-29-78,01-30-09,814,5/24/15 7:51,WNA/IAEA,349
284,Hamaoka-3,34.621000,138.141000,Japan,JP,Suspended Operation,BWR,BWR-5,04-18-83,08-28-87,,1056,12/30/22 4:07,WNA/IAEA,362
285,Hamaoka-4,34.621000,138.141000,Japan,JP,Suspended Operation,BWR,BWR-5,10-13-89,09-03-93,,1092,12/30/22 4:07,WNA/IAEA,376
286,Hamaoka-5,34.621000,138.141000,Japan,JP,Suspended Operation,BWR,ABWR,07-12-00,01-18-05,,1325,12/30/22 4:07,WNA/IAEA,843
287,Hamaoka-6,34.621000,138.141000,Japan,JP,Planned,ABWR,,,,,,,WNA,
288,Hanbit-1,35.405000,126.410000,South Korea,KR,Operational,PWR,WH F,06-04-81,08-25-86,,903,4/21/22 23:26,IAEA,411
289,Hanbit-2,35.405000,126.410000,South Korea,KR,Operational,PWR,WH F,12-01-81,06-10-87,,903,4/21/22 23:26,IAEA,412
290,Hanbit-3,35.405000,126.410000,South Korea,KR,Operational,PWR,OPR-1000,12-23-89,03-31-95,,950,4/21/22 23:26,IAEA,396
291,Hanbit-4,35.405000,126.410000,South Korea,KR,Operational,PWR,OPR-1000,05-26-90,01-01-96,,950,9/25/22 1:33,IAEA,397
292,Hanbit-5,35.405000,126.410000,South Korea,KR,Operational,PWR,OPR-1000,06-29-97,05-21-02,,950,8/28/23 11:01,IAEA,402
293,Hanbit-6,35.405000,126.410000,South Korea,KR,Operational,PWR,OPR-1000,11-20-97,12-24-02,,993,4/20/21 5:47,IAEA,403
294,Hanul-1,37.090000,129.384444,South Korea,KR,Operational,PWR,France CPI,01-26-83,09-10-88,,903,4/21/22 23:26,IAEA,413
295,Hanul-2,37.090000,129.384444,South Korea,KR,Operational,PWR,France CPI,07-05-83,09-30-89,,903,8/28/23 11:01,IAEA,395
296,Hanul-3,37.090000,129.384444,South Korea,KR,Operational,PWR,OPR-1000,07-21-93,08-11-98,,997,4/20/21 5:47,IAEA,398
297,Hanul-4,37.090000,129.384444,South Korea,KR,Operational,PWR,OPR-1000,11-01-93,12-31-99,,950,4/21/22 23:26,IAEA,399
298,Hanul-5,37.090000,129.384444,South Korea,KR,Operational,PWR,OPR-1000,10-01-99,07-29-04,,950,4/21/22 23:26,IAEA,404
299,Hanul-6,37.090000,129.384444,South Korea,KR,Operational,PWR,OPR-1000,09-29-00,04-22-05,,950,4/21/22 23:26,IAEA,406
300,Hartlepool-A1,54.634000,-1.180000,United Kingdom,GB,Operational,GCR,AGR,10-01-68,04-01-89,,590,4/20/21 5:47,WNA/IAEA,250
301,Hartlepool-A2,54.634000,-1.180000,United Kingdom,GB,Operational,GCR,AGR,10-01-68,04-01-89,,595,4/20/21 5:47,WNA/IAEA,251
302,Hatch-1,31.935000,-82.346000,United States,US,Operational,BWR,BWR-4 (Mark 1),09-30-68,12-31-75,,777,5/24/15 7:51,WNA/IAEA,658
303,Hatch-2,31.935000,-82.346000,United States,US,Operational,BWR,BWR-4 (Mark 1),02-01-72,09-05-79,,784,5/24/15 7:51,WNA/IAEA,687
304,Heysham-A1,54.029000,-2.912000,United Kingdom,GB,Operational,GCR,AGR,12-01-70,04-01-89,,611,5/24/15 7:51,WNA/IAEA,256
305,Heysham-A2,54.029000,-2.912000,United Kingdom,GB,Operational,GCR,AGR,12-01-70,04-01-89,,611,5/24/15 7:51,WNA/IAEA,257
306,Heysham-B1,54.029000,-2.912000,United Kingdom,GB,Operational,GCR,AGR,08-01-80,04-01-89,,615,5/24/15 7:51,WNA/IAEA,259
307,Heysham-B2,54.029000,-2.912000,United Kingdom,GB,Operational,GCR,AGR,08-01-80,04-01-89,,615,5/24/15 7:51,WNA/IAEA,260
308,Higashi Dori-1 (Tohoku),41.188000,141.393000,Japan,JP,Suspended Operation,BWR,BWR-5,11-07-00,12-08-05,,1067,12/30/22 4:21,WNA/IAEA,841
309,Higashi Dori-1 (Tokyo),41.185600,141.388000,Japan,JP,Planned,ABWR,,,,,,,WNA,
310,Higashi Dori-2 (Tohoku),41.185600,141.390000,Japan,JP,Planned,ABWR,,,,,,,WNA,
311,Higashi Dori-2 (Tokyo),41.185600,141.389000,Japan,JP,Planned,ABWR,,,,,,,WNA,
312,Hinkley Point-A1,51.209000,-3.131000,United Kingdom,GB,Shutdown,GCR,MAGNOX,11-01-57,03-30-65,05-23-00,250,5/24/15 7:51,WNA/IAEA,271
313,Hinkley Point-A2,51.209000,-3.131000,United Kingdom,GB,Shutdown,GCR,MAGNOX,11-01-57,05-05-65,05-23-00,250,5/24/15 7:51,WNA/IAEA,272
314,Hinkley Point-B1,51.209000,-3.131000,United Kingdom,GB,Shutdown,GCR,AGR,09-01-67,10-02-78,08-01-22,625,9/25/22 1:33,WNA/IAEA,244
315,Hinkley Point-B2,51.209000,-3.131000,United Kingdom,GB,Shutdown,GCR,AGR,09-01-67,09-27-76,07-06-22,625,9/25/22 1:33,WNA/IAEA,245
316,Hinkley Point-C1,51.208700,-3.130500,United Kingdom,GB,Under Construction,PWR,EPR-1750,12-11-18,,,1630,6/2/19 23:18,WNA/IAEA,1072
317,Hinkley Point-C2,51.208700,-3.130500,United Kingdom,GB,Under Construction,PWR,EPR-1750,12-12-19,,,1630,4/18/20 7:46,WNA/IAEA,1073
318,Hongshiding-1 (Rushan-1),,,China,CN,Planned,PWR,,,,,,,WNA,
319,Hongshiding-2 (Rushan-2),,,China,CN,Planned,PWR,,,,,,,WNA,
320,Hongyanhe-1,39.797000,121.476500,China,CN,Operational,PWR,CPR-1000,08-18-07,06-06-13,,1061,8/23/15 6:28,WNA/IAEA/GEO,904
321,Hongyanhe-2,39.797000,121.476500,China,CN,Operational,PWR,CPR-1000,03-28-08,05-13-14,,1061,8/23/15 6:28,WNA/IAEA/GEO,905
322,Hongyanhe-3,39.797000,121.476500,China,CN,Operational,PWR,CPR-1000,03-07-09,08-16-15,,1061,9/25/17 6:20,WNA/IAEA/GEO,906
323,Hongyanhe-4,39.797000,121.476500,China,CN,Operational,PWR,CPR-1000,08-15-09,06-08-16,,1061,6/2/19 23:18,WNA/IAEA/GEO,907
324,Hongyanhe-5,39.797000,121.483100,China,CN,Operational,PWR,ACPR-1000,03-29-15,07-31-21,,1061,1/5/22 2:04,WNA/IAEA/GEO,997
325,Hongyanhe-6,39.797000,121.483100,China,CN,Operational,PWR,ACPR-1000,07-24-15,06-23-22,,1061,9/25/22 1:33,WNA/IAEA/GEO,998
326,Hope Creek-1,39.467000,-75.535000,United States,US,Operational,BWR,BWR-4 (Mark 1),03-01-76,12-20-86,,1067,5/24/15 7:51,WNA/IAEA,680
327,Humboldt Bay,40.741000,-124.210000,United States,US,Shutdown,BWR,Natural cir.,11-01-60,08-01-63,07-02-76,65,5/24/15 7:51,WNA/IAEA,599
328,Hunterston-A1,55.722000,-4.893000,United Kingdom,GB,Shutdown,GCR,MAGNOX,10-01-57,02-05-64,03-30-90,150,5/24/15 7:51,WNA/IAEA,269
329,Hunterston-A2,55.722000,-4.893000,United Kingdom,GB,Shutdown,GCR,MAGNOX,10-01-57,07-01-64,12-31-89,150,5/24/15 7:51,WNA/IAEA,270
330,Hunterston-B1,55.722000,-4.893000,United Kingdom,GB,Shutdown,GCR,AGR,11-01-67,02-07-76,11-26-21,624,1/5/22 2:04,WNA/IAEA,246
331,Hunterston-B2,55.722000,-4.893000,United Kingdom,GB,Shutdown,GCR,AGR,11-01-67,04-01-77,01-07-22,624,4/21/22 23:26,WNA/IAEA,247
332,Ignalina-1,55.604000,26.562000,Lithuania,LT,Shutdown,LWGR,RBMK-1500,05-01-77,05-01-85,12-31-04,1500,4/21/22 23:26,WNA/IAEA,415
333,Ignalina-2,55.604000,26.562000,Lithuania,LT,Shutdown,LWGR,RBMK-1500,01-01-78,12-01-87,12-31-09,1500,4/21/22 23:26,WNA/IAEA,416
334,Ignalina-3,55.604000,26.562000,Lithuania,LT,Cancelled Construction,LWGR,RBMK-1500,06-01-85,,,1380,2/14/21 3:17,WNA/IAEA,
335,Ikata-1,33.491000,132.309000,Japan,JP,Shutdown,PWR,M (2-loop),09-01-73,09-30-77,05-10-16,538,2/11/17 1:56,WNA/IAEA,348
336,Ikata-2,33.491000,132.309000,Japan,JP,Shutdown,PWR,M (2-loop),08-01-78,03-19-82,05-23-18,538,6/2/19 23:18,WNA/IAEA,358
337,Ikata-3,33.491000,132.309000,Japan,JP,Operational,PWR,M (3-loop),10-01-90,12-15-94,,846,5/24/15 7:51,WNA/IAEA,374
338,Indian Point-1,41.270000,-73.950000,United States,US,Shutdown,PWR,PWR,05-01-56,10-01-62,10-31-74,265,5/24/15 7:51,WNA/IAEA,643
339,Indian Point-2,41.270000,-73.950000,United States,US,Shutdown,PWR,WH 4LP (DRYAMB),10-14-66,08-01-74,04-30-20,873,6/6/20 5:15,WNA/IAEA,611
340,Indian Point-3,41.270000,-73.950000,United States,US,Shutdown,PWR,WH 4LP (DRYAMB),10-30-68,08-28-76,04-28-21,965,4/21/22 23:26,WNA/IAEA,635
341,Isar-1,48.607000,12.296000,Germany,DE,Shutdown,BWR,BWR-69,05-01-72,03-21-79,08-06-11,870,5/24/15 7:50,WNA/IAEA,89
342,Isar-2,48.607000,12.296000,Germany,DE,Shutdown,PWR,Konvoi,09-15-82,04-09-88,04-15-23,1285,8/28/23 11:01,WNA/IAEA,106
343,Jaitapur-1,16.595278,73.341111,India,IN,Planned,PWR,,,,,,,WNA/Wikipedia,
344,Jaitapur-2,16.595278,73.341111,India,IN,Planned,PWR,,,,,,,WNA/Wikipedia,
345,Java-1 (Muria),,,Indonesia,ID,Planned,,,,,,,,WNA,
346,Jose Cabrera-1 (Zorita),40.362000,-2.818000,Spain,ES,Shutdown,PWR,WH 1LP,06-24-64,08-13-69,04-30-06,153,2/11/17 1:56,WNA/IAEA,139
347,JPDR,36.462500,140.610000,Japan,JP,Shutdown,BWR,BWR-1,12-01-60,03-15-65,03-18-76,10,5/24/15 7:51,IAEA,333
348,AVR Juelich,50.903000,6.421000,Germany,DE,Shutdown,HTGR,Pebble bed reactor prototype,08-01-61,05-19-69,12-31-88,13,06-07-21,WNA/IAEA,114
349,Kahl,50.059000,8.987000,Germany,DE,Decommissioning Completed,BWR,BWR,07-01-58,,11-25-85,15,12/30/22 4:24,WNA/IAEA,82
350,Kaiga-1,14.865000,74.438000,India,IN,Operational,PHWR,Horizontal Pressure Tube type,09-01-89,11-16-00,,202,5/24/15 7:54,WNA/IAEA,289
351,Kaiga-2,14.865000,74.438000,India,IN,Operational,PHWR,Horizontal Pressure Tube type,12-01-89,03-16-00,,202,5/24/15 7:54,WNA/IAEA,290
352,Kaiga-3,14.865000,74.438000,India,IN,Operational,PHWR,Horizontal Pressure Tube type,03-30-02,05-06-07,,202,5/24/15 7:54,WNA/IAEA,291
353,Kaiga-4,14.865000,74.438000,India,IN,Operational,PHWR,Horizontal Pressure Tube type,05-10-02,01-20-11,,202,5/24/15 7:54,WNA/IAEA,292
354,Kaiga-5,14.868000,74.441800,India,IN,Planned,PWR,,,,,,,WNA,
355,Kaiga-6,14.868000,74.442200,India,IN,Planned,PWR,,,,,,,WNA,
356,Kakrapar-1,21.236000,73.351000,India,IN,Operational,PHWR,Horizontal Pressure Tube type,12-01-84,05-06-93,,202,5/24/15 7:54,WNA/IAEA,308
